Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0195498159547283,-0.000584889927396803,1.11022302462516E-16,0,0,0,0.0461625320172136,4.45483111633052E-06,-1.21549692223377E-08,2.84942757035597E-21,6.86854963092909E-06,-2.90894000782807E-22,5.18467134671341E-06,0,0,0,0,0,0,package://AssemblyVersion3.2/meshes/base_link.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://AssemblyVersion3.2/meshes/base_link.STL,,BaseLink-1,WorldFrame,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link0,0.003726862214672,5.10473197046224E-09,-6.23320973724972E-08,0,0,0,0.0111128785283994,6.7038290214441E-07,-7.55156730690612E-13,9.27716619995703E-12,8.35048525099662E-07,7.88693224183123E-12,7.16780629952311E-07,0,0,0,0,0,0,package://AssemblyVersion3.2/meshes/Link0.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://AssemblyVersion3.2/meshes/Link0.STL,,link_0-1,Joint0,Axis1,Joint0,revolute,0,0,0,0,0,0,base_link,-1,0,0,0,0,-3.1415,3.1415,,,,,,,,
Link1,0.127814729081165,-2.15120073976394E-08,-2.34849678593108E-08,0,0,0,0.0608713402317519,1.76518741476544E-06,-1.28912364383798E-10,-5.6242561501806E-11,0.000197714301438233,6.44953981010129E-12,0.000197606072141834,0,0,0,0,0,0,package://AssemblyVersion3.2/meshes/Link1.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://AssemblyVersion3.2/meshes/Link1.STL,,link_1-1;link_01-1,Joint1,Axis2,Joint1,revolute,0.0149999999999997,0,0,0,0,0,Link0,0,0,-1,0,0,-1.57,1.57,,,,,,,,
Link2,0.107510735394755,-2.74564956326273E-08,-1.48089872586965E-08,0,0,0,0.0497584617033535,1.09480451262106E-06,-1.28157207362606E-10,-6.55197276621747E-11,0.000196879252913137,-1.43739243149624E-12,0.000196889291511885,0,0,0,0,0,0,package://AssemblyVersion3.2/meshes/Link2.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://AssemblyVersion3.2/meshes/Link2.STL,,link_12-1,Joint2,Axis3,Joint2,revolute,0.23,0,0,0,0,0,Link1,0,0,-1,0,0,-0.1,-2.6,,,,,,,,
EndEffector,-0.00859371804014564,-2.32527459509413E-08,5.53126988656061E-09,0,0,0,0.00304264188191374,6.43879897209614E-08,4.12813230500883E-13,-1.27065305248795E-13,8.5107220447823E-08,-8.46655959797173E-14,8.6692927052643E-08,0,0,0,0,0,0,package://AssemblyVersion3.2/meshes/EndEffector.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://AssemblyVersion3.2/meshes/EndEffector.STL,,EndEffectorV3-1,EndEffector,Axis_FixedJoint,FixedJoint,fixed,0.226,0,0,0,0,0,Link2,0,0,0,,,,,,,,,,,,
